StudentID,Course,Mode_of_Study,Age,Gender,Admission_Date,Attendance_%,Assignment_Score,Midterm_Score,Final_Score,Hours_Studied_Weekly,Forum_Participation,Fee_Paid_%,Scholarship,Counseling_Sessions,Overall_Score,Pass_Fail,Dropout_Risk,Status
2031,Digital Marketing,Online,19,Female,2024-07-01,55,91,95,57,20,13,55,No,4,75.2,Pass,High,At-Risk
2032,Finance,Offline,26,Female,2024-07-02,52,78,51,34,22,2,65,No,2,47.9,Fail,High,At-Risk
2033,Finance,Online,26,Female,2024-07-03,78,80,68,37,11,47,75,Yes,0,54.9,Pass,Medium,Active
2034,Data Science,Online,30,Male,2024-07-04,72,62,57,71,2,0,86,No,3,65.0,Pass,Low,Active
2035,Digital Marketing,Hybrid,23,Female,2024-07-05,65,59,57,48,21,43,72,No,0,52.9,Pass,Medium,Active
2036,HR Management,Online,23,Female,2024-07-06,87,88,68,79,23,29,62,No,1,77.5,Pass,Low,Active
2037,Digital Marketing,Online,20,Male,2024-07-07,40,44,44,40,16,45,96,Yes,4,42.0,Fail,High,At-Risk
2038,HR Management,Hybrid,34,Male,2024-07-08,88,52,60,36,5,18,66,No,4,46.4,Fail,High,At-Risk
2039,Data Science,Offline,34,Male,2024-07-09,77,74,31,37,8,18,76,No,0,42.6,Fail,High,At-Risk
2040,Web Dev,Online,29,Male,2024-07-10,41,91,56,76,8,8,71,No,1,73.0,Pass,High,At-Risk
2041,Finance,Hybrid,33,Male,2024-07-11,88,44,91,56,23,6,86,No,2,64.1,Pass,Low,Active
2042,Data Science,Online,32,Female,2024-07-12,45,75,63,79,19,45,68,No,2,73.4,Pass,High,At-Risk
2043,Finance,Online,30,Female,2024-07-13,85,93,48,57,14,36,88,No,4,61.5,Pass,Low,Active
2044,Web Dev,Offline,18,Female,2024-07-14,89,75,94,31,11,49,84,No,4,58.7,Pass,Low,Active
2045,Web Dev,Online,34,Male,2024-07-15,77,85,78,94,9,40,62,Yes,3,87.4,Pass,Low,Active
2046,Data Science,Hybrid,20,Female,2024-07-16,81,73,62,92,11,6,63,No,0,79.2,Pass,Medium,Active
2047,Web Dev,Online,32,Male,2024-07-17,63,58,98,20,15,8,97,No,4,51.0,Pass,Low,Active
2048,HR Management,Offline,21,Male,2024-07-18,57,91,99,77,15,3,80,No,1,86.4,Pass,Medium,Active
2049,Web Dev,Offline,21,Female,2024-07-19,66,81,56,22,21,24,94,No,0,44.0,Fail,Medium,Active
2050,Finance,Hybrid,34,Male,2024-07-20,80,83,69,82,23,48,51,No,3,78.3,Pass,Low,Active
2051,Finance,Offline,28,Male,2024-07-21,47,86,85,40,12,11,95,Yes,2,62.7,Pass,Medium,Active
2052,Finance,Online,20,Female,2024-07-22,67,95,94,42,7,5,88,No,3,68.2,Pass,Low,Active
2053,Finance,Offline,25,Male,2024-07-23,49,51,77,28,22,17,86,No,0,47.3,Fail,High,At-Risk
2054,HR Management,Hybrid,31,Male,2024-07-24,56,49,75,74,2,39,63,Yes,2,69.3,Pass,High,At-Risk
2055,Digital Marketing,Offline,18,Female,2024-07-25,94,62,80,38,20,20,58,No,1,55.4,Pass,Low,Active
2056,Data Science,Offline,31,Male,2024-07-26,68,54,51,81,8,14,59,No,2,66.6,Pass,Low,Active
2057,Finance,Offline,19,Male,2024-07-27,97,75,62,58,19,2,56,No,2,62.599999999999994,Pass,Low,Active
2058,Web Dev,Hybrid,21,Female,2024-07-28,45,86,86,95,4,1,77,No,1,90.5,Pass,High,At-Risk
2059,Finance,Offline,23,Female,2024-07-29,53,34,42,46,21,40,95,No,4,42.4,Fail,High,At-Risk
2060,Web Dev,Offline,18,Female,2024-07-30,61,84,88,65,12,39,74,No,4,75.7,Pass,Low,Active
2061,Web Dev,Online,34,Female,2024-07-31,93,90,54,53,6,3,95,No,2,60.7,Pass,Low,Active
2062,Finance,Hybrid,25,Male,2024-08-01,45,37,73,52,20,31,77,No,2,55.3,Pass,High,At-Risk
2063,HR Management,Offline,18,Male,2024-08-02,65,45,65,69,22,1,51,Yes,3,63.0,Pass,Low,Active
2064,Web Dev,Hybrid,22,Female,2024-08-03,78,77,37,39,3,45,66,No,4,46.0,Fail,High,At-Risk
2065,Web Dev,Offline,33,Male,2024-08-04,51,90,58,59,23,28,53,Yes,1,64.9,Pass,High,At-Risk
2066,Finance,Offline,23,Male,2024-08-05,74,44,49,77,5,1,62,No,2,62.0,Pass,Low,Active
2067,Web Dev,Offline,25,Female,2024-08-06,53,94,90,50,11,33,67,No,2,70.8,Pass,High,At-Risk
2068,Web Dev,Online,30,Female,2024-08-07,61,51,42,57,3,26,52,No,3,51.3,Pass,Low,Active
2069,Finance,Online,33,Male,2024-08-08,90,32,29,64,9,38,100,No,3,47.1,Fail,Medium,Active
2070,Finance,Online,20,Female,2024-08-09,62,83,43,60,2,43,86,Yes,3,59.5,Pass,Low,Active
2071,Data Science,Hybrid,29,Female,2024-08-10,87,43,66,28,7,37,82,No,0,42.4,Fail,Medium,Active
2072,HR Management,Hybrid,33,Female,2024-08-11,46,65,42,28,12,17,90,No,1,39.6,Fail,High,At-Risk
2073,HR Management,Online,28,Male,2024-08-12,79,96,56,82,11,35,73,No,0,77.0,Pass,Medium,Active
2074,Web Dev,Hybrid,27,Female,2024-08-13,89,39,45,98,14,18,57,No,2,70.3,Pass,Low,Active
2075,HR Management,Offline,21,Male,2024-08-14,64,78,34,96,2,26,84,No,3,73.8,Pass,Low,Active
2076,Web Dev,Offline,29,Male,2024-08-15,52,94,61,41,3,44,51,No,3,57.6,Pass,High,At-Risk
2077,Data Science,Offline,19,Male,2024-08-16,60,86,73,35,4,19,82,No,3,56.599999999999994,Pass,Low,Active
2078,Finance,Online,22,Female,2024-08-17,80,56,37,51,10,20,61,No,4,47.8,Fail,High,At-Risk
2079,Finance,Hybrid,25,Female,2024-08-18,49,34,79,85,6,22,71,No,1,73.0,Pass,High,At-Risk
2080,Finance,Online,24,Female,2024-08-19,92,86,41,33,11,29,62,No,0,46.0,Fail,High,At-Risk
2081,HR Management,Hybrid,31,Female,2024-08-20,94,44,33,57,11,24,59,No,1,47.2,Fail,High,At-Risk
2082,Data Science,Offline,20,Female,2024-08-21,98,59,68,27,13,30,66,Yes,3,45.7,Fail,High,At-Risk
2083,HR Management,Online,33,Male,2024-08-22,48,49,70,40,19,26,92,No,2,50.8,Pass,Medium,Active
2084,HR Management,Hybrid,33,Male,2024-08-23,54,66,32,75,22,33,54,Yes,4,60.3,Pass,High,At-Risk
2085,Data Science,Hybrid,25,Male,2024-08-24,91,32,61,65,22,7,58,Yes,1,57.2,Pass,Low,Active
2086,Data Science,Offline,18,Female,2024-08-25,41,70,43,62,2,18,62,Yes,2,57.9,Pass,High,At-Risk
2087,Data Science,Online,34,Male,2024-08-26,64,68,87,65,4,40,72,Yes,3,72.2,Pass,Low,Active
2088,Data Science,Online,29,Male,2024-08-27,52,55,70,67,6,25,79,No,3,65.5,Pass,High,At-Risk
2089,Finance,Online,28,Female,2024-08-28,73,31,95,89,18,27,92,Yes,3,79.2,Pass,Low,Active
2090,Digital Marketing,Offline,22,Female,2024-08-29,90,52,50,50,9,3,53,Yes,3,50.4,Pass,Low,Active
2091,Digital Marketing,Online,29,Male,2024-08-30,97,52,70,52,18,30,70,Yes,4,57.4,Pass,Low,Active
2092,Data Science,Offline,34,Male,2024-08-31,73,45,70,63,10,15,92,Yes,4,61.5,Pass,Low,Active
2093,Digital Marketing,Offline,23,Female,2024-09-01,74,38,99,90,7,9,58,Yes,1,82.3,Pass,Low,Active
2094,Digital Marketing,Offline,18,Female,2024-09-02,77,42,38,27,18,37,56,No,3,33.3,Fail,High,At-Risk
2095,Data Science,Hybrid,22,Female,2024-09-03,42,57,87,92,9,47,65,No,4,83.5,Pass,High,At-Risk
2096,Digital Marketing,Online,31,Female,2024-09-04,81,56,96,21,22,9,72,No,2,50.5,Pass,Low,Active
2097,HR Management,Online,22,Male,2024-09-05,95,80,27,36,8,44,72,No,4,42.1,Fail,High,At-Risk
2098,Web Dev,Offline,18,Male,2024-09-06,98,93,52,71,8,8,80,Yes,4,69.7,Pass,Low,Active
2099,Web Dev,Offline,33,Female,2024-09-07,45,81,53,64,16,38,54,Yes,1,64.1,Pass,High,At-Risk
2100,Data Science,Online,26,Male,2024-09-08,94,67,42,56,8,35,55,Yes,4,54.0,Pass,Low,Active
2101,Finance,Offline,22,Male,2024-09-09,87,94,59,61,23,35,100,No,2,67.0,Pass,Low,Active
2102,Data Science,Online,19,Female,2024-09-10,88,47,71,63,9,18,50,Yes,3,62.2,Pass,Low,Active
2103,Finance,Hybrid,32,Male,2024-09-11,58,92,29,57,10,18,97,No,0,55.6,Pass,High,At-Risk
2104,Web Dev,Offline,24,Male,2024-09-12,42,80,99,25,16,11,77,Yes,1,58.2,Pass,High,At-Risk
2105,Data Science,Online,21,Male,2024-09-13,57,38,83,87,3,12,67,Yes,2,76.0,Pass,High,At-Risk
2106,HR Management,Offline,18,Female,2024-09-14,78,42,99,70,8,24,73,No,1,73.1,Pass,Low,Active
2107,Digital Marketing,Online,30,Female,2024-09-15,48,69,83,54,16,35,62,No,3,65.7,Pass,High,At-Risk
2108,Finance,Online,24,Male,2024-09-16,91,84,71,77,19,24,82,No,4,76.6,Pass,Low,Active
2109,Digital Marketing,Offline,32,Female,2024-09-17,51,72,37,76,23,27,59,No,4,63.5,Pass,High,At-Risk
2110,Digital Marketing,Hybrid,31,Female,2024-09-18,44,73,57,92,19,41,56,No,2,77.7,Pass,High,At-Risk
2111,Data Science,Online,27,Female,2024-09-19,42,97,86,25,11,38,86,No,3,57.7,Pass,Medium,Active
2112,Digital Marketing,Online,26,Male,2024-09-20,50,62,40,32,23,29,81,No,0,40.4,Fail,High,At-Risk
2113,HR Management,Online,25,Male,2024-09-21,96,53,68,78,19,4,94,Yes,0,70.0,Pass,Low,Active
2114,Digital Marketing,Hybrid,27,Female,2024-09-22,69,65,82,49,2,16,71,No,4,62.099999999999994,Pass,Low,Active
2115,Data Science,Hybrid,34,Male,2024-09-23,43,39,30,21,8,17,65,No,3,27.3,Fail,High,At-Risk
2116,HR Management,Offline,19,Male,2024-09-24,44,49,39,77,4,42,73,No,3,60.0,Pass,High,At-Risk
2117,Web Dev,Hybrid,23,Male,2024-09-25,40,41,28,55,15,46,63,No,2,44.1,Fail,High,At-Risk
2118,Digital Marketing,Offline,22,Male,2024-09-26,66,91,80,91,13,20,60,No,0,87.7,Pass,Medium,Active
2119,Data Science,Offline,26,Male,2024-09-27,67,47,88,64,15,21,68,No,2,67.8,Pass,Low,Active
2120,Web Dev,Hybrid,22,Female,2024-09-28,68,92,92,28,5,38,72,No,1,60.0,Pass,Low,Active
2121,Web Dev,Offline,26,Male,2024-09-29,57,54,58,84,14,49,83,No,3,70.2,Pass,Medium,Active
2122,Finance,Hybrid,34,Male,2024-09-30,51,41,80,96,17,5,89,No,0,80.2,Pass,High,At-Risk
2123,HR Management,Offline,34,Male,2024-10-01,52,50,56,69,17,49,62,No,2,61.3,Pass,High,At-Risk
2124,Digital Marketing,Hybrid,29,Female,2024-10-02,80,54,33,98,23,15,88,Yes,4,69.7,Pass,Low,Active
2125,Data Science,Hybrid,24,Female,2024-10-03,41,40,87,51,6,1,93,No,1,59.599999999999994,Pass,Medium,Active
2126,Finance,Offline,20,Female,2024-10-04,76,93,96,62,21,0,77,Yes,2,78.4,Pass,Low,Active
2127,HR Management,Online,27,Male,2024-10-05,84,79,57,97,7,29,89,No,4,81.4,Pass,Low,Active
2128,Finance,Offline,19,Female,2024-10-06,55,91,45,73,7,42,65,No,0,68.2,Pass,High,At-Risk
2129,HR Management,Hybrid,20,Female,2024-10-07,87,78,79,66,19,36,99,No,0,72.3,Pass,Low,Active
2130,HR Management,Online,33,Female,2024-10-08,63,43,81,33,7,47,100,No,1,49.4,Fail,Medium,Active
2131,Digital Marketing,Offline,19,Female,2024-10-09,74,30,26,67,8,22,77,Yes,4,47.3,Fail,High,At-Risk
2132,HR Management,Offline,27,Male,2024-10-10,61,54,37,74,17,0,53,Yes,3,58.9,Pass,Low,Active
2133,Finance,Offline,23,Female,2024-10-11,75,88,28,48,10,18,77,No,0,50.0,Pass,Medium,Active
2134,HR Management,Online,28,Female,2024-10-12,50,98,74,66,14,45,61,Yes,3,74.8,Pass,High,At-Risk
2135,Digital Marketing,Hybrid,24,Male,2024-10-13,94,34,72,82,13,2,65,No,3,69.4,Pass,Low,Active
2136,Digital Marketing,Offline,32,Male,2024-10-14,97,48,54,38,20,1,98,No,2,44.8,Fail,Medium,Active
2137,Finance,Offline,23,Female,2024-10-15,85,52,53,28,24,36,85,No,2,40.3,Fail,Medium,Active
2138,Web Dev,Offline,26,Male,2024-10-16,68,38,32,56,24,16,69,No,0,45.2,Fail,High,At-Risk
2139,Web Dev,Offline,29,Female,2024-10-17,74,79,36,71,2,27,75,No,3,62.1,Pass,Low,Active
2140,HR Management,Offline,20,Male,2024-10-18,87,45,65,76,9,17,75,No,2,66.5,Pass,Low,Active
2141,Data Science,Hybrid,32,Male,2024-10-19,93,62,50,47,5,32,71,Yes,4,50.9,Pass,Low,Active
2142,HR Management,Hybrid,19,Female,2024-10-20,54,31,74,55,22,14,58,Yes,4,55.9,Pass,High,At-Risk
2143,Finance,Offline,19,Male,2024-10-21,99,43,26,83,23,21,54,No,4,57.9,Pass,Low,Active
2144,Finance,Online,20,Female,2024-10-22,70,30,79,37,20,40,66,No,4,48.2,Fail,High,At-Risk
2145,Finance,Hybrid,23,Male,2024-10-23,81,87,80,54,22,26,98,Yes,3,68.4,Pass,Low,Active
2146,Finance,Online,32,Female,2024-10-24,80,45,38,87,6,36,83,No,4,63.9,Pass,Low,Active
2147,Finance,Hybrid,27,Male,2024-10-25,82,76,30,97,18,31,51,No,3,72.7,Pass,Low,Active
2148,Digital Marketing,Offline,26,Male,2024-10-26,55,73,85,58,4,44,56,No,0,69.1,Pass,High,At-Risk
2149,Web Dev,Hybrid,18,Male,2024-10-27,49,43,36,27,20,18,85,No,0,32.9,Fail,High,At-Risk
2150,Finance,Offline,33,Male,2024-10-28,88,53,37,99,2,27,62,No,4,71.2,Pass,Low,Active
2151,Data Science,Hybrid,23,Male,2024-10-29,71,84,43,34,24,27,69,No,4,46.7,Fail,High,At-Risk
2152,Data Science,Offline,26,Female,2024-10-30,90,44,68,26,2,9,79,No,4,42.2,Fail,High,At-Risk
2153,Data Science,Offline,21,Male,2024-10-31,41,63,83,36,24,19,79,No,0,55.5,Pass,High,At-Risk
2154,Data Science,Offline,19,Female,2024-11-01,63,31,61,83,21,24,60,No,2,66.0,Pass,Low,Active
2155,Digital Marketing,Offline,21,Female,2024-11-02,62,56,49,31,10,20,80,No,0,41.4,Fail,Medium,Active
2156,Data Science,Online,18,Female,2024-11-03,41,52,40,75,24,13,52,Yes,4,59.9,Pass,High,At-Risk
2157,Finance,Offline,27,Male,2024-11-04,77,97,62,65,6,21,51,Yes,2,70.5,Pass,Low,Active
2158,HR Management,Online,32,Female,2024-11-05,70,43,67,66,8,25,97,No,2,61.699999999999996,Pass,Low,Active
2159,Data Science,Online,33,Male,2024-11-06,90,92,38,98,7,43,52,No,1,78.80000000000001,Pass,Low,Active
2160,Digital Marketing,Offline,21,Female,2024-11-07,79,94,30,35,18,10,64,No,3,45.3,Fail,High,At-Risk
2161,Digital Marketing,Online,19,Female,2024-11-08,65,97,47,88,23,6,66,No,4,77.5,Pass,Low,Active
2162,Data Science,Hybrid,30,Female,2024-11-09,68,92,84,21,18,16,97,Yes,3,54.1,Pass,Low,Active
2163,HR Management,Offline,18,Female,2024-11-10,42,93,36,73,14,17,56,No,1,65.9,Pass,High,At-Risk
2164,Data Science,Online,34,Female,2024-11-11,97,61,37,46,13,6,97,Yes,3,46.3,Fail,Medium,Active
2165,Digital Marketing,Offline,30,Male,2024-11-12,53,42,30,50,5,19,54,No,4,42.4,Fail,High,At-Risk
2166,Web Dev,Offline,21,Female,2024-11-13,64,95,87,60,9,37,83,No,1,75.1,Pass,Low,Active
2167,Finance,Offline,24,Female,2024-11-14,87,48,62,55,6,10,82,No,3,55.7,Pass,Low,Active
2168,Digital Marketing,Online,34,Male,2024-11-15,40,53,74,66,6,43,94,Yes,0,65.8,Pass,High,At-Risk
2169,Data Science,Hybrid,26,Male,2024-11-16,92,40,76,62,14,15,65,No,2,61.8,Pass,Low,Active
2170,Finance,Hybrid,21,Male,2024-11-17,42,88,64,84,12,26,86,No,1,78.8,Pass,Medium,Active
2171,Data Science,Online,18,Female,2024-11-18,93,44,32,69,9,10,52,No,0,52.9,Pass,Medium,Active
2172,Data Science,Offline,27,Female,2024-11-19,65,39,85,20,9,15,96,No,4,43.3,Fail,Medium,Active
2173,Web Dev,Online,21,Female,2024-11-20,57,70,32,91,2,22,97,No,2,69.1,Pass,Medium,Active
2174,Finance,Online,26,Female,2024-11-21,48,56,58,76,14,11,92,No,1,66.6,Pass,Medium,Active
2175,Finance,Online,30,Female,2024-11-22,77,89,84,35,6,39,100,No,2,60.5,Pass,Low,Active
2176,Web Dev,Offline,31,Female,2024-11-23,62,81,81,47,22,2,99,Yes,1,64.0,Pass,Low,Active
2177,Digital Marketing,Online,27,Male,2024-11-24,60,57,70,41,9,1,70,No,1,52.9,Pass,Low,Active
2178,Data Science,Offline,23,Male,2024-11-25,96,94,46,60,18,37,90,No,3,62.6,Pass,Low,Active
2179,HR Management,Online,33,Female,2024-11-26,40,46,64,95,24,47,57,No,2,75.9,Pass,High,At-Risk
2180,Data Science,Hybrid,23,Female,2024-11-27,60,73,69,38,24,23,71,Yes,2,54.3,Pass,Low,Active
2181,Data Science,Online,34,Female,2024-11-28,66,39,79,69,14,28,100,Yes,0,66.0,Pass,Low,Active
2182,Digital Marketing,Online,27,Female,2024-11-29,81,92,75,78,10,46,54,Yes,4,79.9,Pass,Low,Active
2183,Data Science,Hybrid,20,Female,2024-11-30,98,76,29,88,3,45,66,No,0,67.9,Pass,Medium,Active
2184,Web Dev,Offline,32,Male,2024-12-01,45,67,37,53,20,33,86,No,3,51.0,Pass,Medium,Active
2185,Web Dev,Offline,32,Male,2024-12-02,94,99,52,58,21,19,63,No,1,64.4,Pass,Low,Active
2186,Finance,Online,21,Female,2024-12-03,83,82,86,93,18,17,88,No,3,88.7,Pass,Low,Active
2187,HR Management,Hybrid,26,Male,2024-12-04,75,73,48,26,8,13,90,No,3,42.0,Fail,Medium,Active
2188,Data Science,Offline,34,Female,2024-12-05,67,83,31,71,4,17,77,No,0,61.4,Pass,Medium,Active
2189,Data Science,Online,28,Female,2024-12-06,84,49,62,79,20,1,80,No,1,67.9,Pass,Low,Active
2190,Digital Marketing,Hybrid,26,Female,2024-12-07,56,60,61,71,20,0,66,No,4,65.8,Pass,High,At-Risk
2191,Web Dev,Offline,27,Male,2024-12-08,98,36,92,98,10,19,84,No,3,83.8,Pass,Low,Active
2192,HR Management,Offline,30,Male,2024-12-09,79,87,66,43,11,33,89,No,4,58.7,Pass,Low,Active
2193,Finance,Hybrid,25,Female,2024-12-10,97,39,29,45,15,40,71,Yes,1,39.0,Fail,High,At-Risk
2194,Web Dev,Hybrid,24,Male,2024-12-11,91,39,88,29,19,40,94,No,1,48.7,Fail,Medium,Active
2195,Finance,Hybrid,34,Male,2024-12-12,42,68,74,36,16,47,97,No,0,53.8,Pass,High,At-Risk
2196,Digital Marketing,Hybrid,32,Female,2024-12-13,51,57,39,97,2,10,78,No,2,71.6,Pass,High,At-Risk
2197,Digital Marketing,Online,32,Male,2024-12-14,78,59,97,21,7,26,59,No,0,51.4,Pass,Medium,Active
2198,Data Science,Hybrid,18,Male,2024-12-15,51,66,77,96,16,22,67,Yes,4,84.3,Pass,High,At-Risk
2199,HR Management,Offline,31,Female,2024-12-16,41,96,49,46,7,37,84,No,0,56.900000000000006,Pass,High,At-Risk
2200,Finance,Offline,22,Female,2024-12-17,95,72,33,92,19,43,93,No,1,70.3,Pass,Low,Active
2201,Web Dev,Online,28,Male,2024-12-18,85,81,62,90,2,2,65,No,3,79.8,Pass,Low,Active
2202,Digital Marketing,Offline,33,Female,2024-12-19,61,85,46,67,4,11,99,Yes,2,64.3,Pass,Low,Active
2203,Data Science,Offline,19,Male,2024-12-20,62,97,73,93,18,29,98,No,1,87.8,Pass,Low,Active
2204,Data Science,Hybrid,25,Female,2024-12-21,69,38,92,28,17,30,56,No,3,49.199999999999996,Fail,High,At-Risk
2205,Finance,Offline,28,Female,2024-12-22,44,52,39,42,9,22,79,No,4,43.1,Fail,High,At-Risk
2206,Digital Marketing,Online,20,Female,2024-12-23,48,92,89,90,18,0,68,Yes,4,90.1,Pass,High,At-Risk
2207,HR Management,Hybrid,18,Female,2024-12-24,60,90,78,92,9,40,72,Yes,4,87.4,Pass,Low,Active
2208,Digital Marketing,Hybrid,28,Male,2024-12-25,50,69,54,46,18,19,57,No,0,53.0,Pass,High,At-Risk
2209,Finance,Online,33,Female,2024-12-26,44,73,44,90,10,5,66,No,4,72.8,Pass,High,At-Risk
2210,Finance,Hybrid,33,Female,2024-12-27,74,53,57,62,13,10,70,No,4,58.7,Pass,Low,Active
2211,Digital Marketing,Hybrid,27,Female,2024-12-28,66,80,31,26,20,34,75,No,0,38.3,Fail,High,At-Risk
2212,Finance,Online,23,Male,2024-12-29,88,87,32,82,5,3,77,No,3,68.0,Pass,Low,Active
2213,Digital Marketing,Hybrid,21,Male,2024-12-30,41,62,52,63,22,28,88,No,1,59.5,Pass,Medium,Active
2214,Web Dev,Online,30,Female,2024-12-31,63,45,69,58,23,9,82,Yes,2,58.7,Pass,Low,Active
2215,Digital Marketing,Online,31,Female,2025-01-01,70,51,97,59,12,28,89,No,4,68.8,Pass,Low,Active
2216,Digital Marketing,Offline,20,Female,2025-01-02,72,86,98,26,5,37,68,No,4,59.599999999999994,Pass,Low,Active
2217,Finance,Offline,27,Female,2025-01-03,78,91,35,89,15,0,78,No,4,73.2,Pass,Low,Active
2218,Finance,Hybrid,23,Female,2025-01-04,69,99,55,44,15,39,69,No,0,58.3,Pass,Medium,Active
2219,Data Science,Hybrid,18,Female,2025-01-05,85,59,36,78,7,7,69,No,0,61.6,Pass,Medium,Active
2220,Data Science,Online,31,Male,2025-01-06,76,52,75,32,18,37,59,Yes,0,48.9,Fail,High,At-Risk
2221,Web Dev,Hybrid,25,Female,2025-01-07,90,61,68,81,3,16,61,No,2,73.1,Pass,Low,Active
2222,Data Science,Online,31,Female,2025-01-08,67,86,74,27,9,18,82,No,1,52.9,Pass,Low,Active
2223,Digital Marketing,Online,27,Female,2025-01-09,99,38,41,64,5,32,74,No,4,51.9,Pass,Low,Active
2224,Finance,Hybrid,34,Female,2025-01-10,70,60,59,37,11,14,74,No,3,48.2,Fail,High,At-Risk
2225,Data Science,Online,26,Female,2025-01-11,50,38,25,79,8,44,53,Yes,4,54.6,Pass,High,At-Risk
2226,Data Science,Offline,23,Female,2025-01-12,62,42,53,79,5,30,53,No,4,63.8,Pass,Low,Active
2227,Web Dev,Hybrid,28,Male,2025-01-13,96,87,75,21,17,20,58,No,4,50.400000000000006,Pass,Low,Active
2228,Web Dev,Offline,24,Male,2025-01-14,41,32,88,85,15,2,64,Yes,4,75.3,Pass,High,At-Risk
2229,Digital Marketing,Hybrid,34,Male,2025-01-15,79,64,28,33,17,1,75,No,1,37.7,Fail,High,At-Risk
2230,Finance,Online,18,Male,2025-01-16,80,50,52,67,10,34,64,Yes,3,59.1,Pass,Low,Active
2231,Web Dev,Hybrid,22,Male,2025-01-17,66,93,40,75,5,40,75,No,0,68.1,Pass,Medium,Active
2232,Data Science,Offline,26,Male,2025-01-18,74,81,87,31,7,15,77,No,3,57.8,Pass,Low,Active
2233,Finance,Online,19,Female,2025-01-19,41,63,77,74,2,44,56,No,4,72.7,Pass,High,At-Risk
2234,Finance,Hybrid,28,Female,2025-01-20,78,64,41,47,8,49,81,Yes,3,48.6,Fail,Medium,Active
